name,city,state,country,lat,lon,type,times_played,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29
Knickerbocker Arena,Albany,NY,USA,42.6511674,-73.754968,city,1,12/9/95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palace Theatre,Albany,NY,USA,42.654509,-73.750169,residential,3,5/6/93,5/5/93,11/20/92,,,,,,,,,,,,,,,,,,,,,,,,,,
Pauly's Hotel,Albany,NY,USA,42.6655404,-73.773106,pub,1,5/11/89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepsi Arena,Albany,NY,USA,42.6511674,-73.754968,city,8,11/28/09,11/27/09,12/1/03,9/9/00,9/8/00,10/10/99,10/9/99,11/25/98,12/13/97,12/12/97,12/9/95,,,,,,,,,,,,,,,,,,
Times Union Center,Albany,NY,USA,42.64854299,-73.75475812,stadium,2,11/27/09,11/28/09,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Rey Theater,Albuquerque,NM,USA,35.0841034,-106.6509851,city,1,4/8/92,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verizon Wireless Amphitheatre at Encore Park,Alpharetta,GA,USA,34.05443,-84.306488,amphitheatre,7,8/3/14,7/17/13,7/16/14,6/15/11,6/14/11,7/4/10,7/3/10,,,,,,,,,,,,,,,,,,,,,,
Hilton Coliseum,Ames,IA,USA,42.02102575,-93.63476772,yes,2,10/1/99,11/14/96,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campus Pond, UMass Spring Concert, ...",Amherst,MA,USA,42.3803676,-72.523143,administrative,2,5/14/89,5/10/92,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Robert Crown Center, Hampshire College",Amherst,MA,USA,42.3803676,-72.523143,administrative,1,12/7/90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Red Barn, Hampshire College",Amherst,MA,USA,42.3803676,-72.523143,administrative,1,12/10/88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melkweg,Amsterdam,0,Netherlands,52.3647435,4.8812636,theatre,1,3/16/12,3/15/12,3/14/12,7/12/96,,,,,,,,,,,,,,,,,,,,,,,,,
Paradiso,Amsterdam,0,Netherlands,52.36218175,4.883805573,nightclub,3,7/2/97,7/1/97,2/17/97,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hill Auditorium, University of Michigan",Ann Arbor,MI,USA,42.2681569,-83.7312291,city,1,11/16/94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan Theater,Ann Arbor,MI,USA,42.27970198,-83.74189731,theatre,3,10/21/06,10/23/05,5/3/99,4/18/93,4/17/93,12/11/92,,,,,,,,,,,,,,,,,,,,,,,
Rick's Caf_,Ann Arbor,MI,USA,42.2681569,-83.7312291,city,1,4/16/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmSouth Amphitheatre,Antioch,TN,USA,35.756467,-84.2179718,hamlet,1,6/22/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First American Music Center,Antioch,TN,USA,35.756467,-84.2179718,hamlet,1,7/1/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starwood Ampitheater,Antioch,TN,USA,35.756467,-84.2179718,hamlet,1,6/22/00,7/1/99,5/3/94,,,,,,,,,,,,,,,,,,,,,,,,,,
The Veranda at Starwood,Antioch,TN,USA,35.756467,-84.2179718,hamlet,1,7/30/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"East Gym, Humboldt State University",Arcata,CA,USA,40.8665166,-124.0828396,city,1,3/28/93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Beer Garden,Arcata,CA,USA,40.8665166,-124.0828396,city,2,10/15/91,4/2/91,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 East Caberet,Ardmore,PA,USA,40.004132,-75.28831772,census,8,9/29/90,7/8/90,6/8/90,3/17/90,3/16/90,2/10/90,12/29/89,11/18/89,,,,,,,,,,,,,,,,,,,,,
Les Arenes Romaines,Arles,0,France,43.6776223,4.6309653,administrative,1,7/19/96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asheville Civic Center,Asheville,NC,USA,35.6009498,-82.5540161,city,1,6/9/09,6/27/06,12/17/05,10/31/02,12/21/01,11/17/01,,,,,,,,,,,,,,,,,,,,,,,
"Britt Ballroom, Southern Oregon Sta...",Ashland,OR,USA,42.1972487,-122.7153995,city,1,4/3/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
